<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.01	00:00:00	0.59780	0.59925	0.59731	0.59895	6371	0	5
2024.04.01	04:00:00	0.59896	0.59923	0.59772	0.59806	6061	0	5
2024.04.01	08:00:00	0.59805	0.59850	0.59732	0.59825	5421	0	3
2024.04.01	12:00:00	0.59825	0.59838	0.59640	0.59702	4872	0	5
2024.04.01	16:00:00	0.59702	0.59718	0.59391	0.59427	12905	0	5
2024.04.01	20:00:00	0.59428	0.59528	0.59422	0.59526	3306	0	5
2024.04.02	00:00:00	0.59523	0.59546	0.59467	0.59495	5558	0	5
2024.04.02	04:00:00	0.59495	0.59547	0.59437	0.59460	9739	0	5
2024.04.02	08:00:00	0.59460	0.59574	0.59429	0.59555	10257	0	5
2024.04.02	12:00:00	0.59553	0.59602	0.59516	0.59553	8686	0	5
2024.04.02	16:00:00	0.59553	0.59730	0.59538	0.59618	12326	0	5
2024.04.02	20:00:00	0.59620	0.59727	0.59601	0.59708	3812	0	5
2024.04.03	00:00:00	0.59705	0.59744	0.59591	0.59591	4777	0	5
2024.04.03	04:00:00	0.59590	0.59773	0.59520	0.59720	7037	0	5
2024.04.03	08:00:00	0.59721	0.59763	0.59596	0.59652	9641	0	5
2024.04.03	12:00:00	0.59652	0.59733	0.59616	0.59665	8368	0	5
2024.04.03	16:00:00	0.59666	0.60076	0.59628	0.60036	17255	0	5
2024.04.03	20:00:00	0.60035	0.60109	0.59998	0.60092	5066	0	5
2024.04.04	00:00:00	0.60053	0.60238	0.60046	0.60230	5564	0	5
2024.04.04	04:00:00	0.60230	0.60294	0.60179	0.60273	5766	0	5
2024.04.04	08:00:00	0.60273	0.60415	0.60271	0.60372	7819	0	5
2024.04.04	12:00:00	0.60372	0.60448	0.60250	0.60418	7475	0	5
2024.04.04	16:00:00	0.60419	0.60458	0.60350	0.60413	8404	0	5
2024.04.04	20:00:00	0.60413	0.60463	0.60192	0.60254	6777	0	5
2024.04.05	00:00:00	0.60234	0.60306	0.60212	0.60295	6850	0	5
2024.04.05	04:00:00	0.60294	0.60309	0.60064	0.60075	9432	0	5
2024.04.05	08:00:00	0.60076	0.60213	0.60055	0.60185	9850	0	5
2024.04.05	12:00:00	0.60185	0.60267	0.59878	0.59957	11314	0	5
2024.04.05	16:00:00	0.59957	0.60194	0.59852	0.60150	18543	0	5
2024.04.05	20:00:00	0.60147	0.60166	0.60097	0.60111	6896	0	5
2024.04.08	00:00:00	0.60073	0.60110	0.59978	0.60047	6288	0	5
2024.04.08	04:00:00	0.60046	0.60181	0.60030	0.60129	10169	0	5
2024.04.08	08:00:00	0.60128	0.60169	0.60087	0.60118	10134	0	5
2024.04.08	12:00:00	0.60119	0.60280	0.60103	0.60222	7664	0	5
2024.04.08	16:00:00	0.60222	0.60382	0.60222	0.60289	11282	0	5
2024.04.08	20:00:00	0.60289	0.60358	0.60281	0.60319	3817	0	5
2024.04.09	00:00:00	0.60284	0.60435	0.60282	0.60405	3401	0	5
2024.04.09	04:00:00	0.60405	0.60487	0.60339	0.60419	6728	0	5
2024.04.09	08:00:00	0.60418	0.60441	0.60339	0.60425	6228	0	5
2024.04.09	12:00:00	0.60424	0.60681	0.60415	0.60653	7636	0	5
2024.04.09	16:00:00	0.60654	0.60765	0.60511	0.60529	11831	0	5
2024.04.09	20:00:00	0.60529	0.60617	0.60490	0.60594	4865	0	5
2024.04.10	00:00:00	0.60580	0.60682	0.60504	0.60614	5798	0	5
2024.04.10	04:00:00	0.60613	0.60770	0.60504	0.60731	9077	0	5
2024.04.10	08:00:00	0.60728	0.60773	0.60656	0.60735	9380	0	5
2024.04.10	12:00:00	0.60738	0.60827	0.60048	0.60155	12354	0	5
2024.04.10	16:00:00	0.60154	0.60161	0.59656	0.59742	22544	0	5
2024.04.10	20:00:00	0.59742	0.59862	0.59669	0.59738	13967	0	5
2024.04.11	00:00:00	0.59746	0.59796	0.59709	0.59745	8383	0	5
2024.04.11	04:00:00	0.59744	0.59860	0.59733	0.59855	11031	0	5
2024.04.11	08:00:00	0.59857	0.59921	0.59790	0.59866	13277	0	5
2024.04.11	12:00:00	0.59866	0.60068	0.59712	0.60066	15354	0	5
2024.04.11	16:00:00	0.60067	0.60144	0.59688	0.59851	17550	0	5
2024.04.11	20:00:00	0.59851	0.60030	0.59823	0.59953	6842	0	5
2024.04.12	00:00:00	0.59961	0.60054	0.59946	0.60040	5701	0	5
2024.04.12	04:00:00	0.60041	0.60099	0.59932	0.59939	7714	0	5
2024.04.12	08:00:00	0.59940	0.59962	0.59694	0.59741	14242	0	5
2024.04.12	12:00:00	0.59740	0.59763	0.59483	0.59522	13377	0	5
2024.04.12	16:00:00	0.59522	0.59533	0.59352	0.59385	21990	0	5
2024.04.12	20:00:00	0.59386	0.59428	0.59334	0.59365	8801	0	5
2024.04.15	00:00:00	0.59330	0.59494	0.59318	0.59347	9886	0	5
2024.04.15	04:00:00	0.59344	0.59532	0.59269	0.59472	11377	0	5
2024.04.15	08:00:00	0.59473	0.59517	0.59319	0.59400	13327	0	5
2024.04.15	12:00:00	0.59401	0.59465	0.59223	0.59350	12788	0	5
2024.04.15	16:00:00	0.59351	0.59409	0.59122	0.59187	18430	0	5
2024.04.15	20:00:00	0.59184	0.59206	0.58981	0.59028	7403	0	5
2024.04.16	00:00:00	0.59036	0.59075	0.58903	0.58915	6062	0	5
2024.04.16	04:00:00	0.58914	0.58950	0.58732	0.58857	13488	0	5
2024.04.16	08:00:00	0.58857	0.58955	0.58816	0.58877	14825	0	5
2024.04.16	12:00:00	0.58878	0.58956	0.58794	0.58854	10808	0	5
2024.04.16	16:00:00	0.58855	0.58901	0.58727	0.58861	20523	0	5
2024.04.16	20:00:00	0.58862	0.58951	0.58678	0.58798	14784	0	5
2024.04.17	00:00:00	0.58765	0.59004	0.58605	0.58989	8190	0	5
2024.04.17	04:00:00	0.58990	0.59081	0.58933	0.59021	9124	0	5
2024.04.17	08:00:00	0.59021	0.59171	0.58921	0.59082	13774	0	5
